HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,Links 
415.803,11.5,415.803,10.28,415.803,12.06,
416.03,11.5,416.03,8.28,416.03,12.06,
416.257,8.5,416.257,10.28,416.257,13.06,
416.484,11.5,416.484,11.28,416.484,17.06,
416.711,12.5,416.711,7.28,416.711,15.06,
416.938,12.5,416.938,15.28,416.938,15.06,
417.165,14.5,417.165,11.28,417.165,16.06,
417.392,14.5,417.392,10.28,417.392,18.06,
417.619,14.5,417.619,15.28,417.619,14.06,
417.845,10.5,417.845,9.28,417.845,12.06,
418.072,16.5,418.072,11.28,418.072,15.06,
418.299,14.5,418.299,11.28,418.299,16.06,
418.526,15.5,418.526,11.28,418.526,15.06,
418.753,13.5,418.753,7.28,418.753,10.06,
418.98,10.5,418.98,15.28,418.98,12.06,
419.207,17.5,419.207,8.28,419.207,15.06,
419.434,10.5,419.434,7.28,419.434,16.06,
419.66,10.5,419.66,10.28,419.66,14.06,
419.887,11.5,419.887,12.28,419.887,17.06,
420.114,10.5,420.114,10.28,420.114,19.06,
420.341,11.5,420.341,15.28,420.341,16.06,
420.568,10.5,420.568,13.28,420.568,10.06,
420.795,5.5,420.795,11.28,420.795,9.06,
421.021,10.5,421.021,10.28,421.021,14.06,
421.248,10.5,421.248,10.28,421.248,14.06,
421.475,11.5,421.475,10.28,421.475,18.06,
421.702,10.5,421.702,7.28,421.702,12.06,
421.929,9.5,421.929,11.28,421.929,13.06,
422.156,13.5,422.156,13.28,422.156,14.06,
422.382,12.5,422.382,16.28,422.382,11.06,
422.609,11.5,422.609,10.28,422.609,9.06,
422.836,9.5,422.836,10.28,422.836,16.06,
423.063,13.5,423.063,8.28,423.063,14.06,
423.29,12.5,423.29,6.28,423.29,12.06,
423.516,13.5,423.516,11.28,423.516,13.06,
423.743,14.5,423.743,9.28,423.743,18.06,
423.97,8.5,423.97,11.28,423.97,17.06,
424.197,10.5,424.197,7.28,424.197,14.06,
424.424,8.5,424.424,10.28,424.424,12.06,
424.65,11.5,424.65,13.28,424.65,12.06,
424.877,14.5,424.877,9.28,424.877,14.06,
425.104,15.5,425.104,10.28,425.104,14.06,
425.331,12.5,425.331,9.28,425.331,10.06,
425.557,13.5,425.557,10.28,425.557,16.06,
425.784,10.5,425.784,5.28,425.784,18.06,
426.011,12.5,426.011,11.28,426.011,20.06,
426.238,14.5,426.238,16.28,426.238,17.06,
426.464,10.5,426.464,12.28,426.464,12.06,
426.691,12.5,426.691,17.28,426.691,22.06,
426.918,9.5,426.918,13.28,426.918,13.06,
427.145,9.5,427.145,8.28,427.145,15.06,
427.371,14.5,427.371,12.28,427.371,13.06,
427.598,43.5,427.598,44.28,427.598,55.06,
427.825,12.5,427.825,11.28,427.825,12.06,
428.052,15.5,428.052,9.28,428.052,14.06,
428.278,15.5,428.278,9.28,428.278,12.06,
