HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity,,,goal: determine wavelengths of peaks,,,,,Links ,
633.624,6.08,633.624,-3.23,633.624,2.92,1.923333333,,,,,,,,,
633.641,7.08,633.641,11.77,633.641,-7.08,3.923333333,,,,,,,,,
633.659,7.08,633.659,2.77,633.659,-10.08,-0.07666666667,,,,,,,,,
633.677,2.08,633.677,-8.23,633.677,-18.08,-8.076666667,,,,,,,,,
633.695,6.08,633.695,1.77,633.695,-7.08,0.2566666667,,,,,,,,,
633.713,10.08,633.713,17.77,633.713,9.92,12.59,,,,,,,,,
633.73,22.08,633.73,21.77,633.73,17.92,20.59,,,,,,,,,
633.748,3.08,633.748,-2.23,633.748,2.92,1.256666667,,,,,,,,,
633.766,0.08,633.766,4.77,633.766,11.92,5.59,,,,,,,,,
633.784,-1.92,633.784,7.77,633.784,11.92,5.923333333,,,,,,,,,
633.802,8.08,633.802,0.77,633.802,-3.08,1.923333333,,,,,,,,,
633.819,0.08,633.819,5.77,633.819,-17.08,-3.743333333,,,,,,,,,
633.837,6.08,633.837,-4.23,633.837,-13.08,-3.743333333,,,,,,,,,
633.855,-23.92,633.855,-20.23,633.855,-30.08,-24.74333333,,,,,,,,,
633.873,-14.92,633.873,-10.23,633.873,-26.08,-17.07666667,,,,,,,,,
633.89,8.08,633.89,-5.23,633.89,-7.08,-1.41,,,,,,,,,
633.908,16.08,633.908,10.77,633.908,4.92,10.59,,,,,,,,,
633.926,-7.92,633.926,6.77,633.926,-3.08,-1.41,,,,,,,,,
633.944,0.08,633.944,3.77,633.944,-3.08,0.2566666667,,,,,,,,,
633.961,6.08,633.961,7.77,633.961,-10.08,1.256666667,,,,,,,,,
633.979,9.08,633.979,9.77,633.979,-6.08,4.256666667,,,,,,,,,
633.997,-3.92,633.997,-19.23,633.997,-23.08,-15.41,,,,,,,,,
634.015,0.08,634.015,4.77,634.015,-9.08,-1.41,,,,,,,,,
634.032,12.08,634.032,11.77,634.032,-5.08,6.256666667,,,,,,,,,
634.05,12.08,634.05,14.77,634.05,-11.08,5.256666667,,,,,,,,,
634.068,-6.92,634.068,7.77,634.068,-14.08,-4.41,,,,,,,,,
634.086,-0.92,634.086,20.77,634.086,11.92,10.59,,,,,,,,,
634.103,-6.92,634.103,23.77,634.103,19.92,12.25666667,,,,,,,,,
634.121,-0.92,634.121,-5.23,634.121,1.92,-1.41,,,,,,,,,
634.139,6.08,634.139,13.77,634.139,11.92,10.59,,,,,,,,,
634.157,-5.92,634.157,27.77,634.157,12.92,11.59,,,,,,,,,
634.174,-14.92,634.174,9.77,634.174,8.92,1.256666667,,,,,,,,,
634.192,-15.92,634.192,-8.23,634.192,-8.08,-10.74333333,,,,,,,,,
634.21,5.08,634.21,-0.23,634.21,-8.08,-1.076666667,,,,,,,,,
634.227,12.08,634.227,-5.23,634.227,-6.08,0.2566666667,,,,,,,,,
634.245,1.08,634.245,3.77,634.245,2.92,2.59,,,,,,,,,
634.263,0.08,634.263,21.77,634.263,-8.08,4.59,,,,,,,,,
634.281,0.08,634.281,33.77,634.281,-5.08,9.59,,,,,,,,,
634.298,-4.92,634.298,19.77,634.298,-2.08,4.256666667,,,,,,,,,
634.316,-6.92,634.316,8.77,634.316,5.92,2.59,,,,,,,,,
634.334,-17.92,634.334,1.77,634.334,-11.08,-9.076666667,,,,,,,,,
634.351,-30.92,634.351,-4.23,634.351,-20.08,-18.41,,,,,,,,,
634.369,-19.92,634.369,-6.23,634.369,-19.08,-15.07666667,,,,,,,,,
634.387,-9.92,634.387,4.77,634.387,6.92,0.59,,,,,,,,,
634.404,-2.92,634.404,4.77,634.404,4.92,2.256666667,,,,,,,,,
634.422,-3.92,634.422,1.77,634.422,-17.08,-6.41,,,,,,,,,
634.44,11.08,634.44,-0.23,634.44,-7.08,1.256666667,,,,,,,,,
634.458,-11.92,634.458,0.77,634.458,-18.08,-9.743333333,,,,,,,,,
634.475,8.08,634.475,10.77,634.475,-7.08,3.923333333,,,,,,,,,
634.493,22.08,634.493,18.77,634.493,27.92,22.92333333,,,,,,,,,
634.511,-15.92,634.511,-12.23,634.511,-6.08,-11.41,,,,,,,,,
634.528,3.08,634.528,-5.23,634.528,2.92,0.2566666667,,,,,,,,,
634.546,0.08,634.546,6.77,634.546,-3.08,1.256666667,,,,,,,,,
634.564,1.08,634.564,0.77,634.564,2.92,1.59,,,,,,,,,
634.581,-3.92,634.581,-16.23,634.581,-9.08,-9.743333333,,,,,,,,,
634.599,1.08,634.599,2.77,634.599,-0.08,1.256666667,,,,,,,,,
634.617,12.08,634.617,4.77,634.617,-0.08,5.59,,,,,,,,,
634.634,0.08,634.634,11.77,634.634,-4.08,2.59,,,,,,,,,
634.652,-0.92,634.652,-17.23,634.652,-3.08,-7.076666667,,,,,,,,,
634.67,-1.92,634.67,13.77,634.67,-9.08,0.9233333333,,,,,,,,,
634.687,6.08,634.687,33.77,634.687,11.92,17.25666667,,,,,,,,,
634.705,-2.92,634.705,20.77,634.705,1.92,6.59,,,,,,,,,
634.723,-8.92,634.723,0.77,634.723,-11.08,-6.41,,,,,,,,,
634.74,0.08,634.74,10.77,634.74,8.92,6.59,,,,,,,,,
634.758,0.08,634.758,1.77,634.758,-4.08,-0.7433333333,,,,,,,,,
634.775,2.08,634.775,-1.23,634.775,-3.08,-0.7433333333,,,,,,,,,
634.793,-10.92,634.793,-10.23,634.793,-21.08,-14.07666667,,,,,,,,,
634.811,1.08,634.811,-2.23,634.811,-0.08,-0.41,,,,,,,,,
634.828,3.08,634.828,13.77,634.828,-0.08,5.59,,,,,,,,,
634.846,8.08,634.846,-4.23,634.846,-5.08,-0.41,,,,,,,,,
634.864,0.08,634.864,-0.23,634.864,-7.08,-2.41,,,,,,,,,
634.881,8.08,634.881,24.77,634.881,1.92,11.59,,,,,,,,,
634.899,1.08,634.899,23.77,634.899,-10.08,4.923333333,,,,,,,,,
634.917,-2.92,634.917,15.77,634.917,-9.08,1.256666667,,,,,,,,,
634.934,-6.92,634.934,13.77,634.934,-12.08,-1.743333333,,,,,,,,,
634.952,7.08,634.952,14.77,634.952,2.92,8.256666667,,,,,,,,,
634.969,-8.92,634.969,7.77,634.969,-0.08,-0.41,,,,,,,,,
634.987,11.08,634.987,5.77,634.987,14.92,10.59,,,,,,,,,
635.005,0.08,635.005,-6.23,635.005,-8.08,-4.743333333,,,,,,,,,
635.022,-11.92,635.022,1.77,635.022,-2.08,-4.076666667,,,,,,,,,
635.04,5.08,635.04,-3.23,635.04,3.92,1.923333333,,,,,,,,,
