HD spec 1 wave,HD spec 1 intensity,HD spec 2 wave,HD spec 2 intensity,HD spec 3 wave,HD spec 3 intensity,HD average intensity
632.264,22.23,632.264,22.23,632.264,3.85,16.10333333
632.282,13.23,632.282,13.23,632.282,19.85,15.43666667
632.3,-0.77,632.3,-0.77,632.3,2.85,0.4366666667
632.318,12.23,632.318,12.23,632.318,8.85,11.10333333
632.336,3.23,632.336,3.23,632.336,-3.15,1.103333333
632.354,4.23,632.354,4.23,632.354,-7.15,0.4366666667
632.372,17.23,632.372,17.23,632.372,-3.15,10.43666667
632.39,5.23,632.39,5.23,632.39,5.85,5.436666667
632.408,0.23,632.408,0.23,632.408,-2.15,-0.5633333333
632.426,-9.77,632.426,-9.77,632.426,-12.15,-10.56333333
632.443,14.23,632.443,14.23,632.443,14.85,14.43666667
632.461,7.23,632.461,7.23,632.461,19.85,11.43666667
632.479,7.23,632.479,7.23,632.479,11.85,8.77
632.497,-6.77,632.497,-6.77,632.497,6.85,-2.23
632.515,13.23,632.515,13.23,632.515,-2.15,8.103333333
632.533,7.23,632.533,7.23,632.533,-10.15,1.436666667
632.551,1.23,632.551,1.23,632.551,3.85,2.103333333
632.569,14.23,632.569,14.23,632.569,-0.15,9.436666667
632.587,2.23,632.587,2.23,632.587,-7.15,-0.8966666667
632.605,-2.77,632.605,-2.77,632.605,-12.15,-5.896666667
632.623,4.23,632.623,4.23,632.623,7.85,5.436666667
632.641,17.23,632.641,17.23,632.641,16.85,17.10333333
632.659,-9.77,632.659,-9.77,632.659,-5.15,-8.23
632.677,8.23,632.677,8.23,632.677,0.85,5.77
632.695,-3.77,632.695,-3.77,632.695,2.85,-1.563333333
632.713,3.23,632.713,3.23,632.713,1.85,2.77
632.731,3.23,632.731,3.23,632.731,14.85,7.103333333
632.748,15.23,632.748,15.23,632.748,4.85,11.77
632.766,13.23,632.766,13.23,632.766,5.85,10.77
632.784,13.23,632.784,13.23,632.784,4.85,10.43666667
632.802,23.23,632.802,23.23,632.802,16.85,21.10333333
632.82,27.23,632.82,27.23,632.82,30.85,28.43666667
632.838,-0.77,632.838,-0.77,632.838,13.85,4.103333333
632.856,4.23,632.856,4.23,632.856,10.85,6.436666667
632.874,18.23,632.874,18.23,632.874,23.85,20.10333333
632.892,7.23,632.892,7.23,632.892,20.85,11.77
632.91,-10.77,632.91,-10.77,632.91,23.85,0.77
632.928,0.23,632.928,0.23,632.928,7.85,2.77
632.945,4.23,632.945,4.23,632.945,-1.15,2.436666667
632.963,7.23,632.963,7.23,632.963,20.85,11.77
632.981,13.23,632.981,13.23,632.981,6.85,11.10333333
632.999,15.23,632.999,15.23,632.999,9.85,13.43666667
633.017,11.23,633.017,11.23,633.017,-15.15,2.436666667
633.035,17.23,633.035,17.23,633.035,-10.15,8.103333333
633.053,9.23,633.053,9.23,633.053,0.85,6.436666667
633.071,0.23,633.071,0.23,633.071,13.85,4.77
633.089,-2.77,633.089,-2.77,633.089,7.85,0.77
633.106,5.23,633.106,5.23,633.106,3.85,4.77
633.124,21.23,633.124,21.23,633.124,23.85,22.10333333
633.142,9.23,633.142,9.23,633.142,-0.15,6.103333333
633.16,14.23,633.16,14.23,633.16,20.85,16.43666667
633.178,1.23,633.178,1.23,633.178,3.85,2.103333333
633.196,8.23,633.196,8.23,633.196,23.85,13.43666667
633.214,21.23,633.214,21.23,633.214,36.85,26.43666667
633.231,24.23,633.231,24.23,633.231,25.85,24.77
633.249,-7.77,633.249,-7.77,633.249,-3.15,-6.23
633.267,6.23,633.267,6.23,633.267,8.85,7.103333333
633.285,11.23,633.285,11.23,633.285,7.85,10.10333333
633.303,12.23,633.303,12.23,633.303,2.85,9.103333333
633.321,7.23,633.321,7.23,633.321,11.85,8.77
633.339,9.23,633.339,9.23,633.339,-8.15,3.436666667
633.356,31.23,633.356,31.23,633.356,8.85,23.77
633.374,33.23,633.374,33.23,633.374,9.85,25.43666667
633.392,5.23,633.392,5.23,633.392,-0.15,3.436666667
