H spec 1 wave,H spec 1 intensity,H spec 2 wave,H spec 2 intensity,H spec 3 wave,H spec 3 intensity,H average intensity
634.298,11.38,634.298,11.15,634.298,6.08,9.536666667
634.316,11.38,634.316,13.15,634.316,-4.92,6.536666667
634.334,-2.62,634.334,-1.85,634.334,-1.92,-2.13
634.351,-25.62,634.351,-10.85,634.351,-9.92,-15.46333333
634.369,-11.62,634.369,-12.85,634.369,-9.92,-11.46333333
634.387,14.38,634.387,-3.85,634.387,2.08,4.203333333
634.404,12.38,634.404,0.15,634.404,0.08,4.203333333
634.422,-9.62,634.422,2.15,634.422,-13.92,-7.13
634.44,-2.62,634.44,11.15,634.44,-7.92,0.2033333333
634.458,-3.62,634.458,-0.85,634.458,-9.92,-4.796666667
634.475,2.38,634.475,-1.85,634.475,6.08,2.203333333
634.493,19.38,634.493,18.15,634.493,18.08,18.53666667
634.511,-8.62,634.511,10.15,634.511,9.08,3.536666667
634.528,-10.62,634.528,13.15,634.528,10.08,4.203333333
634.546,-6.62,634.546,5.15,634.546,16.08,4.87
634.564,-6.62,634.564,4.15,634.564,5.08,0.87
634.581,-21.62,634.581,-12.85,634.581,1.08,-11.13
634.599,-12.62,634.599,-1.85,634.599,2.08,-4.13
634.617,-13.62,634.617,-1.85,634.617,9.08,-2.13
634.634,-8.62,634.634,4.15,634.634,17.08,4.203333333
634.652,-13.62,634.652,-17.85,634.652,14.08,-5.796666667
634.67,-12.62,634.67,-6.85,634.67,14.08,-1.796666667
634.687,-10.62,634.687,20.15,634.687,11.08,6.87
634.705,-0.62,634.705,0.15,634.705,1.08,0.2033333333
634.723,5.38,634.723,-14.85,634.723,13.08,1.203333333
634.74,11.38,634.74,3.15,634.74,29.08,14.53666667
634.758,0.38,634.758,-10.85,634.758,13.08,0.87
634.775,-6.62,634.775,3.15,634.775,14.08,3.536666667
634.793,3.38,634.793,-1.85,634.793,13.08,4.87
634.811,11.38,634.811,28.15,634.811,31.08,23.53666667
634.828,6.38,634.828,7.15,634.828,13.08,8.87
634.846,-7.62,634.846,4.15,634.846,5.08,0.5366666667
634.864,-10.62,634.864,10.15,634.864,-4.92,-1.796666667
634.881,-3.62,634.881,9.15,634.881,9.08,4.87
634.899,-3.62,634.899,-2.85,634.899,2.08,-1.463333333
634.917,11.38,634.917,-3.85,634.917,-1.92,1.87
634.934,-7.62,634.934,-17.85,634.934,14.08,-3.796666667
634.952,14.38,634.952,2.15,634.952,13.08,9.87
634.969,4.38,634.969,4.15,634.969,3.08,3.87
634.987,15.38,634.987,9.15,634.987,3.08,9.203333333
635.005,-1.62,635.005,3.15,635.005,2.08,1.203333333
635.022,7.38,635.022,13.15,635.022,17.08,12.53666667
635.04,11.38,635.04,5.15,635.04,2.08,6.203333333
635.057,5.38,635.057,0.15,635.057,1.08,2.203333333
635.075,4.38,635.075,-8.85,635.075,-1.92,-2.13
635.093,5.38,635.093,5.15,635.093,6.08,5.536666667
635.11,0.38,635.11,3.15,635.11,11.08,4.87
635.128,4.38,635.128,8.15,635.128,15.08,9.203333333
635.145,0.38,635.145,5.15,635.145,2.08,2.536666667
635.163,17.38,635.163,25.15,635.163,21.08,21.20333333
635.181,8.38,635.181,9.15,635.181,5.08,7.536666667
635.198,11.38,635.198,13.15,635.198,-2.92,7.203333333
635.216,2.38,635.216,38.15,635.216,4.08,14.87
